idx,seq,name,uscc,origin,vintage,label,borderline
41,1622,三亚崖州隆盛科技有限公司,91460200324206283X,本地(三亚),旧版(2015前),,
42,1627,三亚崖州久亚百货商行（个人独资）,91460108MADNQ5XC5T,省内迁入/外设,MAD,,
43,1633,三亚崖州环星百货商行（个人独资）,91469027MADQMQPC2H,省内迁入/外设,MAD,,
44,1649,三亚崖州彩苏辰百货商行（个人独资）,91469033MADR0H8B2E,省内迁入/外设,MAD,,
45,1692,三亚旭耀汽车租赁有限公司,91460200MA5RHNHA64,本地(三亚),MA5,,
46,1752,三亚鑫巳届实业有限公司,91460200MA5T2B9X0N,本地(三亚),MA5,,
47,1790,三亚新正科农业发展有限公司,91460000MAA994C85X,本地(省级),MAA,SEED,
48,1852,三亚乡然农业开发有限公司,91460000MAD52NXD5P,本地(省级),MAD,SEED,
49,1856,三亚禧庆烟花爆竹有限公司,91460000MAEH24UC9T,本地(省级),MAE,,
50,1995,三亚天奕宝宝母婴用品有限公司,91460000MACTYLGF21,本地(省级),MAC,,
51,2016,三亚天成远瞩管理合伙企业（有限合伙）,91469031MADUTRPF10,省内迁入/外设,MAD,,
52,2038,三亚太平洋建设有限公司,91460200MA5TENXU78,本地(三亚),MA5,,
53,2060,三亚四马鸿强土石方工程有限公司,9146020032414473XK,本地(三亚),旧版(2015前),,
54,2076,三亚思晟科技有限公司,91460000MAD3BY8C5R,本地(省级),MAD,,
55,2083,三亚硕锦工程有限公司,91460000MA5T9KFNX1,本地(省级),MA5,,
56,2087,三亚顺泽建材有限公司,91460000MA5TCUM50Q,本地(省级),MA5,,
57,2098,三亚水之缘农业有限公司,91460200MA5RCY4E9T,本地(三亚),MA5,SEED,
58,2099,三亚水熊虫机械设备租赁有限公司,91460000MA5TTGC350,本地(省级),MA5,,
59,2113,三亚黍禾科技有限公司,91460000MAETFRF93L,本地(省级),MAE,SEED,Y
60,2154,三亚市朱锐航网络科技有限公司,91460000MA7L4G5Q9W,本地(省级),MA7,,
61,2163,三亚市重罗网络科技有限公司,91460000MA7GFD7U1P,本地(省级),MA7,,
62,2205,三亚市沼吴网络科技有限公司,91460000MA7GNYY173,本地(省级),MA7,,
63,2207,三亚市章密信息科技有限公司,91460000MA7KEYD85D,本地(省级),MA7,,
64,2217,三亚市宰依童网络科技有限公司,91460000MA7GP8G55A,本地(省级),MA7,,
65,2269,三亚市余婷信网络科技有限公司,91460000MA7GPBAG59,本地(省级),MA7,,
66,2290,三亚市雍运潍网络科技有限公司,91460000MA7JRM2QXB,本地(省级),MA7,,
67,2321,三亚市蚁绳怀科技有限责任公司,91460000MA7KWE8795,本地(省级),MA7,,
68,2426,三亚市崖州区城市工程建设有限公司,91460100MA5T44JQ98,省内迁入/外设,MA5,,
69,2469,三亚市姓以清网络科技有限公司,91460000MAA99TH266,本地(省级),MAA,,
70,2525,三亚市霞微依网络科技有限公司,91460000MA5TEEJU39,本地(省级),MA5,,
71,2559,三亚市文采涵网络科技有限责任公司,91460000MA7J2EEW7T,本地(省级),MA7,,
72,2567,三亚市韪鸿科技有限公司,91460108MAD5AJB60L,省内迁入/外设,MAD,,
73,2631,三亚市锁炼网络科技有限公司,91460000MA7HXKY736,本地(省级),MA7,,
74,2670,三亚市适钟网络科技有限公司,91460000MA5TDYWG09,本地(省级),MA5,,
75,2687,三亚市诗芙琳网络科技有限公司,91460000MA5TEEHL7Q,本地(省级),MA5,,
76,2691,三亚市生清网络科技有限公司,91460000MA7HDPLH75,本地(省级),MA7,,
77,2692,三亚市升栀网络科技有限公司,91460000MA7LAQ9X18,本地(省级),MA7,,
78,2700,三亚市申足网络科技有限公司,91460000MA7GBKJJ5M,本地(省级),MA7,,
79,2719,三亚市啬煌网络科技有限公司,91460000MA7GFDF4X4,本地(省级),MA7,,
80,2734,三亚市睿梁网络科技有限公司,91460000MA7K4K645L,本地(省级),MA7,,
81,2778,三亚市秋荣信息科技有限公司,91460000MA7HGTT57P,本地(省级),MA7,,
82,2781,三亚市丘芳润网络科技有限公司,91460000MA7HGUR73Y,本地(省级),MA7,,
83,2800,三亚市骞桂网络科技有限公司,91460000MA7LB0M17C,本地(省级),MA7,,
84,2802,三亚市芊睿珠宝有限责任公司,91469027MAD94KQ27X,省内迁入/外设,MAD,,
85,2815,三亚市綦夏云信息科技有限公司,91460000MAA97N3U9D,本地(省级),MAA,,
86,2816,三亚市祺瑞宸服装有限公司,91460000MA5TGUNP26,本地(省级),MA5,,
87,2832,三亚市平卉素网络科技有限责任公司,91460000MA7J2F391D,本地(省级),MA7,,
88,2843,三亚市鹏铭网络科技有限公司,91460000MA7J2FK149,本地(省级),MA7,,
89,2864,三亚市聂爵网络科技有限公司,91460000MA7JXYRE6C,本地(省级),MA7,,
90,2922,三亚市美达利实业有限公司,91460000MA5T9GFL2M,本地(省级),MA5,,
91,2984,三亚市林佳晨网络科技有限公司,91460000MAA99GAP4M,本地(省级),MAA,,
92,2993,三亚市梁采美网络科技有限公司,91460000MA7KW0AH59,本地(省级),MA7,,
93,3012,三亚市离痕网络科技有限公司,91460000MA7GBKEH74,本地(省级),MA7,,
94,3019,三亚市蕾轩丙科技有限责任公司,91460000MA7JAKYH1R,本地(省级),MA7,,
95,3088,三亚市劲兆宏汽车配件有限公司,91460000MAA94XYYX3,本地(省级),MAA,,
96,3108,三亚市巾卉网络科技有限公司,91460000MA5TEYYH73,本地(省级),MA5,,
97,3180,三亚市辉铧建材有限公司,91460000MAC2QPP34U,本地(省级),MAC,,
98,3221,三亚市衡月荣信息科技有限公司,91460000MA7HB2860Q,本地(省级),MA7,,
99,3232,三亚市禾源农业有限公司,91460000MAK1JM3A9W,本地(省级),MAK,SEED,
100,3245,三亚市号灯网络科技有限公司,91460000MA7H8A0F93,本地(省级),MA7,,
101,3314,三亚市革书文网络科技有限公司,91460000MA7HPE4567,本地(省级),MA7,,
102,3427,三亚市谛优网络科技有限公司,91460000MA7LAQKA3K,本地(省级),MA7,,
103,3428,三亚市谛德网络科技有限公司,91460000MA7L2R3B20,本地(省级),MA7,,
104,3477,三亚市褚橘佑网络科技有限公司,91460000MA7GP78A2H,本地(省级),MA7,,
105,3495,三亚市盛邺农业有限公司,91460000MAK0MRAG1K,本地(省级),MAK,SEED,
106,3508,三亚市称展网络科技有限公司,91460000MA7HXXLK2Y,本地(省级),MA7,,
107,3551,三亚市博允网络科技有限公司,91460000MA7LJ9F7XU,本地(省级),MA7,,
108,3560,三亚市伯澳生物有限责任公司,91460000MAEC1EBFXL,本地(省级),MAE,,
109,3565,三亚市宾水卉网络科技有限公司,91460000MAA99RUA99,本地(省级),MAA,,
110,3573,三亚市倍驰机械制造有限公司,91460100MADW48NK3T,省内迁入/外设,MAD,SUPPORT,
111,3578,三亚市暴素怀网络科技有限公司,91460000MA7FBYC29C,本地(省级),MA7,,
112,3622,三亚实之佳药品大药房（个人独资）,91460000MAEU7UD96M,本地(省级),MAE,,
113,3704,三亚三才地质工程有限公司,91460000MAC8LED44K,本地(省级),MAC,SUPPORT,Y
114,3780,三亚日新信息技术有限公司,91210211MA7JDWPA6Q,省外迁入/外设,MA7,,
115,3855,三亚蔷薇映画影视有限公司,91460200MA5RD2B90Y,本地(三亚),MA5,,
116,3891,三亚企硕科技有限公司,91460000MAE3QH9353,本地(省级),MAE,,
117,3996,三亚南滨垦地发展有限公司,91460000MAC6FFCJ97,本地(省级),MAC,SEED,Y
118,4007,三亚木杰再生资源回收有限公司,91460000MA5TX17MXB,本地(省级),MA5,,
119,4114,三亚罗盘星科技有限公司,91460108MAD8ULKC4E,省内迁入/外设,MAD,,
120,4141,三亚龙城轩网络科技有限公司,91460200MA5RGYBU6M,本地(三亚),MA5,,
121,4191,三亚力信实业有限公司,91460000MA5TUUJF19,本地(省级),MA5,,
122,4200,三亚李氏农业开发有限公司,91460200735846197R,本地(三亚),旧版(2015前),SEED,
123,4216,三亚乐乐发再生资源回收有限公司,91460000MACATXU58G,本地(省级),MAC,,
124,4259,三亚坤灿低网络科技有限公司,91460000MA5TGQQE0C,本地(省级),MA5,,
125,4263,三亚快火科技有限公司,91460000MA7F0QYL2Y,本地(省级),MA7,,
126,4275,三亚科怡芯电子有限公司,91460000MABYDGQ085,本地(省级),MA其他,SUPPORT,
127,4303,三亚科城科技有限公司,91460000MAEDY6JG8M,本地(省级),MAE,,
128,4304,三亚科城聚展有限公司,91460000MAD9857HX7,本地(省级),MAD,,
129,4360,三亚君阔科技有限公司,91469030MA5THE2Y4R,省内迁入/外设,MA5,,
130,4421,三亚鲸世界科技馆有限公司,91460200MA5RD7UP6Y,本地(三亚),MA5,,
131,4433,三亚京义大口腔服务有限责任公司,91460108MACQDB2H5U,省内迁入/外设,MAC,,
132,4439,三亚京海升公寓有限公司,91460000MAER21772D,本地(省级),MAE,,
133,4449,三亚锦彬翔网络科技有限公司,91460000MA5TFCMB7F,本地(省级),MA5,,
134,4456,三亚金音企业服务有限责任公司,91460000MAEEWB00X7,本地(省级),MAE,,
135,4495,三亚婕菲觅网络科技有限公司,91460000MA5TGCG39Q,本地(省级),MA5,,
136,4518,三亚简柚科技有限公司,91460000MAE6PWD12X,本地(省级),MAE,,
137,4645,三亚环投供水有限公司西部分公司,91460000MACRT67X2M,本地(省级),MAC,,
138,4674,三亚华聚建材有限公司,91460000MA5TX8XT19,本地(省级),MA5,,
139,4681,三亚华家猪数字供销中心（特殊普通合伙）,91460105MAD0F2QC1J,省内迁入/外设,MAD,,
140,4698,三亚湖林农业开发有限公司,91460200MA5T7J0M2T,本地(三亚),MA5,SEED,
141,4715,三亚鸿慧利仁数字科技有限公司,91460000MADG1XP34F,本地(省级),MAD,,
142,4743,三亚宏绘商务管理有限公司,91460000MAEH77T851,本地(省级),MAE,,
143,4782,三亚禾算生物科技有限公司,91460000MAEFE36A06,本地(省级),MAE,SEED,Y
144,4786,三亚禾和网络科技有限公司,91460200MA5RE39M25,本地(三亚),MA5,,
145,4807,三亚合润科技有限公司,91460000MAEBT7C653,本地(省级),MAE,,
146,4808,三亚合行宏韧科技合伙企业（有限合伙）,91469005MADE8FWA3K,省内迁入/外设,MAD,,
147,4838,三亚航友科技有限公司,91460000MAEAPHF18N,本地(省级),MAE,,
148,4856,三亚汉和联实业有限公司,91460200MA5RH6UN9Y,本地(三亚),MA5,,
149,4922,三亚海岛智旅科技有限公司,91460107MADRATF393,省内迁入/外设,MAD,,
150,4929,三亚哈医大鸿森健康管理有限公司,91460000MAA8YLMC3J,本地(省级),MAA,,
151,4945,三亚国玺农业发展有限公司,91460106MADLNE636H,省内迁入/外设,MAD,SEED,
152,4958,三亚郭红磊拆除工程有限公司,91460108MADJK8TF6L,省内迁入/外设,MAD,,
153,4978,三亚冠烽生物科技有限公司,91460000MAEUW9E75N,本地(省级),MAE,,
154,5015,三亚覆流科技有限公司,91460000MAENUC9D3B,本地(省级),MAE,,
155,5034,三亚福泰新型建材有限公司,91460200681161378M,本地(三亚),旧版(2015前),,
156,5036,三亚福闽农业发展有限公司,91460200MA5T618411,本地(三亚),MA5,SEED,
157,5037,三亚福满溢硅科技有限公司,91460000MAA97HD78A,本地(省级),MAA,SUPPORT,
158,5092,三亚方乐科技有限公司,91460108MA5U1DTD5X,省内迁入/外设,MA5,,
159,5104,三亚尔迪生物有限公司,91460000MAG089N43N,本地(省级),MAG,,
160,5149,三亚帝圣宜百货商行（个人独资）,91469005MADNMU7H70,省内迁入/外设,MAD,,
161,5163,三亚德祥堂四季大药房（个人独资）,91460000MAEW5GJM3Q,本地(省级),MAE,,
162,5164,三亚德祥堂水南村大药房（个人独资）,91460000MA5U0YTY96,本地(省级),MA5,,
163,5165,三亚德祥堂浅海大药房（个人独资）,91460000MACX5YGP51,本地(省级),MAC,,
164,5231,三亚创思鼎新科技有限公司,91469031MADNJLMY02,省内迁入/外设,MAD,,
165,5248,三亚驰能新能源有限公司,91460000MAC94FRNXM,本地(省级),MAC,SUPPORT,
166,5301,三亚辰领风百货商行（个人独资）,91469006MADNHU2A06,省内迁入/外设,MAD,,
167,5302,三亚辰坤信息技术有限公司,91460000MA5T99EL7W,本地(省级),MA5,,
168,5303,三亚晨煜汽车租赁有限公司,91460000MAA901RG91,本地(省级),MAA,,
169,5371,三亚博华弥网络科技有限公司,91460000MA5TDYRLX6,本地(省级),MA5,,
170,5375,三亚博恩海泰科技有限公司,91460200MA5RF7KP3P,本地(三亚),MA5,,
171,5377,三亚博卜楠网络科技有限公司,91460000MA5TDW0B0N,本地(省级),MA5,,
172,5385,三亚丙喜奇网络科技有限公司,91460000MA5TF040X1,本地(省级),MA5,,
173,5396,三亚彬志彭网络科技有限公司,91460000MA5TF6449J,本地(省级),MA5,,
174,5456,三亚安讯科技有限公司,914602006811881085,本地(三亚),旧版(2015前),,
175,5497,三十亩地（海南）农业发展有限公司,91460100MA5TWF542D,省内迁入/外设,MA5,SEED,
176,5529,睿控云图（海南）科技有限公司,91460107MACUW5JPX9,省内迁入/外设,MAC,,
177,5532,瑞阳液压设备（海南）有限公司,91460107MACGTNGG7H,省内迁入/外设,MAC,SUPPORT,
178,5707,铭祥（海南）科技有限公司,91460108MAD8BWC95L,省内迁入/外设,MAD,,
179,5783,龙兴集团新能源（海南）有限公司,91460100MA5TRCHQ3C,省内迁入/外设,MA5,SUPPORT,
180,5785,龙商科技（海南）有限公司,91460000MA5TXAYE0X,本地(省级),MA5,,
181,5799,领睿医疗科技（海南）有限公司,91460000MAA94JH809,本地(省级),MAA,SUPPORT,
182,5858,乐杰（海南三亚）细胞库生物科技有限公司,91460000MADYX4CN76,本地(省级),MAD,SUPPORT,
183,5868,蓝天地（三亚）农业技术开发有限公司,91460000MAEXGM421B,本地(省级),MAE,SEED,
184,5871,蓝点信息科技（三亚）有限公司,91460000MAD1G1KN7Q,本地(省级),MAD,,
185,5875,澜境深创（海南）科技有限公司,91460000MAEKH6NP0M,本地(省级),MAE,,
186,5876,澜海星链数字科技（海南）有限公司,91460000MAE8X0X26F,本地(省级),MAE,,
187,5879,来时（三亚）珠宝有限公司,91460000MAEJ55UT9A,本地(省级),MAE,,
188,5880,来赋（海南）生物科技有限公司,91460000MAECJT0F9J,本地(省级),MAE,,
189,5990,京宏科技（海南）有限公司,91469028MADT9MBA8Y,省内迁入/外设,MAD,,
190,6000,锦城石化（海南）有限公司,91460000MA5U2LNG98,本地(省级),MA5,,
191,6042,捷康生物科技（海南）有限公司,91460000MAA91ETU7H,本地(省级),MAA,,
192,6064,舰发（海南）科技有限公司,91460000MAD2LTLD68,本地(省级),MAD,OCEAN,
193,6088,佳科软件（海南）有限公司,91460000MADHE8UEXE,本地(省级),MAD,SUPPORT,Y
194,6090,际海科技（海南）有限公司,91460000MAE7P2GY0D,本地(省级),MAE,,
195,6095,集天（海南）科技工程有限公司,91460000MACG93KN6E,本地(省级),MAC,,
196,6099,极速光轮（三亚）数字科技有限公司,91460000MAC5T4AL8X,本地(省级),MAC,,
197,6134,慧茂楼宇科技（北京）有限公司三亚分公司,91460000MABMYTH0X3,本地(省级),MA其他,,
198,6143,恢春丹生物科技（海南）有限公司,91460000MA5TMQY421,本地(省级),MA5,,
199,6145,黄骅市华中建设集团有限公司三亚分公司,91460200MA5TC2863Y,本地(三亚),MA5,,
200,6306,涵煜科技（海南）有限公司,91460000MAEGQEMK04,本地(省级),MAE,,
201,6308,海智耘科（海南）科技有限公司,91460000MAE7B6Q86N,本地(省级),MAE,,
202,6327,海豚科技（海南）有限公司,91460000MAA8YQGU6U,本地(省级),MAA,,
203,6391,海南卓越华廷科技有限公司,91460108MADA9M0B92,省内迁入/外设,MAD,,
204,6403,海南卓然卓尔科技有限公司,91460000MAD5R77Y4Y,本地(省级),MAD,,
205,6412,海南准一科技有限公司,91460200MA5T4D1KXN,本地(三亚),MA5,,
206,6428,海南洲镇四方科技有限公司,91460108MA5TLHXY1H,省内迁入/外设,MA5,,
207,6438,海南重山科技有限公司,91460000MA5TX1EJX0,本地(省级),MA5,,
208,6447,海南众赢科技有限责任公司,91460000MACF3QC14H,本地(省级),MAC,,
209,6482,海南种源科技有限公司,91460000MA5U1APW74,本地(省级),MA5,SEED,
210,6541,海南中趣云海科技有限公司,91460000MAD6408W0K,本地(省级),MAD,,
211,6600,海南中宝实业有限公司,91460000MA5TL4CM4A,本地(省级),MA5,,
212,6607,海南致远蓝谷科技孵化器有限公司,91460108MAD4CBNP0Y,省内迁入/外设,MAD,,
213,6616,海南至欣科技有限公司,91460000MACNU9C8XM,本地(省级),MAC,,
214,6647,海南智侬科技有限公司,91460000MABPP1HM7Y,本地(省级),MA其他,,
215,6682,海南志敏燃料有限公司,91460000MA5U1LYTX6,本地(省级),MA5,,
216,6753,海南臻元科技有限公司,91460000MAEND0GG7F,本地(省级),MAE,,
217,6776,海南喆喆屋网络科技有限公司,91460000MAE93ELX90,本地(省级),MAE,,
218,6857,海南运捷经贸有限责任公司,91460200MA5T65041G,本地(三亚),MA5,,
219,6865,海南芸龙科技发展有限公司,91460000MAEU2TYH5D,本地(省级),MAE,,
220,6873,海南云智慧信息技术有限公司,91469036MA5TLHQH89,省内迁入/外设,MA5,,
221,6876,海南云游数创科技有限公司,91460108MACHEG6R3E,省内迁入/外设,MAC,,
222,6936,海南越享科技合伙企业（有限合伙）,91460000MAEQ198P10,本地(省级),MAE,,
223,6961,海南悦达共创科技有限公司,91460000MAD5RBD80T,本地(省级),MAD,,
224,6999,海南源茂林业科技发展有限公司,91460000MAE19T3C9E,本地(省级),MAE,SEED,
225,7001,海南源粮科技集团有限公司,91460000MA5T9GUA82,本地(省级),MA5,SEED,
226,7091,海南煜高生物科技有限公司,91460000MACHG99B35,本地(省级),MAC,,
227,7111,海南羽诺科技有限公司,91460000MAELCTCX2M,本地(省级),MAE,,
228,7133,海南宇博信纳科技发展有限公司,91460000MA5TKQ8K7K,本地(省级),MA5,,
229,7170,海南优逸旅馆有限公司,91460000MACU537KXU,本地(省级),MAC,,
230,7178,海南优瑞迪科技有限公司,91460100MADX37H12C,省内迁入/外设,MAD,,
231,7227,海南赢胜未来科技合伙企业（有限合伙）,91469005MADGC7LX34,省内迁入/外设,MAD,,
232,7323,海南易达科技有限公司,91460106MA5TN0LH0M,省内迁入/外设,MA5,,
233,7371,海南钇坤智能科技有限公司,91460000MA5TX6KD2P,本地(省级),MA5,,
234,7378,海南移崖农业开发有限公司,91460200676091352J,本地(三亚),旧版(2015前),SEED,
235,7408,海南壹程科技有限公司,91460000MAD7WYG574,本地(省级),MAD,,
236,7488,海南艳奇果业有限公司,91460000MAEDQWJF72,本地(省级),MAE,SEED,
237,7537,海南雅德科技有限公司,91610131MA6TYD144R,省外迁入/外设,MA其他,,
238,7560,海南巽阳科技有限公司,91460000MABT19U47D,本地(省级),MA其他,,
239,7656,海南星盛科技发展有限公司,91460000MAE8N0WD5U,本地(省级),MAE,,
240,7695,海南信米科技有限公司,91460000MAELYXAB0J,本地(省级),MAE,,
241,7705,海南信安融金科技有限公司,91460000MA5TJ42W10,本地(省级),MA5,,
242,7788,海南鑫海贵实业有限责任公司,91460000MA7H7DHW9Y,本地(省级),MA7,,
243,7799,海南鑫诚小盈管理有限公司,91460000MAEHDLBW86,本地(省级),MAE,,
244,7801,海南鑫晟隆科技有限公司,91460000MADFFRFN3F,本地(省级),MAD,,
245,7839,海南欣迈生物科技有限公司,91460106MADHRQ1U6M,省内迁入/外设,MAD,,
246,7884,海南新秋振荣新能源有限公司,91460000MAA97GJ30J,本地(省级),MAA,SUPPORT,
247,7886,海南新诺生物科技有限公司,91460000MADYL30D06,本地(省级),MAD,,
248,7909,海南新迪讯科技有限公司,91460000MACP9F5T09,本地(省级),MAC,,
249,7924,海南协晟生物科技有限公司,91460000MAA94F6Q7B,本地(省级),MAA,,
250,7964,海南翔翔专利代理有限公司三亚分公司,91460108MADK5R6U37,省内迁入/外设,MAD,,
251,8004,海南贤宁健康科技有限公司,91469034MADQM0WY6K,省内迁入/外设,MAD,,
252,8031,海南西荣科技有限公司,91460000MAD6QFYJ0D,本地(省级),MAD,,
253,8057,海南希沃科技有限公司,911401000730847431,省外迁入/外设,旧版(2015前),,
254,8068,海南物种科技有限公司,91460000MAEAET4613,本地(省级),MAE,SEED,
255,8145,海南位姿导控技术有限公司,91460203MAD01HD05C,本地(三亚),MAD,SUPPORT,
256,8163,海南维度折叠科技有限公司,91460000MAEJWG1X4U,本地(省级),MAE,,
257,8234,海南万历工贸有限公司三亚崖州分公司,91460000MADXH4901C,本地(省级),MAD,,
258,8248,海南万疆智集科技合伙企业（有限合伙）,91460000MAEXFN250F,本地(省级),MAE,,
259,8312,海南通联智行科技有限公司,91460000MA5TP83Y81,本地(省级),MA5,,
260,8342,海南天应科技有限公司,91460000MA5TTXWA63,本地(省级),MA5,,
261,8381,海南特维生物科技有限公司,91469002MADPYW9H20,省内迁入/外设,MAD,,
262,8417,海南泰宜得科技有限公司,91460107MAC6BYTH0H,省内迁入/外设,MAC,,
263,8449,海南拓境科技有限公司,91460000MAENYQ7M49,本地(省级),MAE,,
264,8541,海南顺路发科技有限公司,91460000MA5TT39G7L,本地(省级),MA5,,
265,8584,海南树发生物科技有限责任公司,91460000MAD23AHP9K,本地(省级),MAD,,
266,8688,海南圣冠原生物科技合伙企业（有限合伙）,91460000MADC6E192J,本地(省级),MAD,,
267,8772,海南省兴晟生物科技有限公司,91460000MADH3E6Y7R,本地(省级),MAD,,
268,8781,海南省辛巴赫精酿啤酒销售有限公司,91460000MAE10JEQ7K,本地(省级),MAE,,
269,8868,海南省三亚市青岭农业开发有限公司,91460000MACEYLDA9H,本地(省级),MAC,SEED,
270,8901,海南省三亚恒澳能源有限公司,91460000MAA8YFJ26C,本地(省级),MAA,,
271,8929,海南省琦华琴盛机械设备有限公司,91460000MA7LCPUE8W,本地(省级),MA7,,
272,9193,海南声拓网络科技有限公司,91460000MAEEU0WU8R,本地(省级),MAE,,
273,9258,海南尚府科技有限公司,91460000MA5TU7849D,本地(省级),MA5,,
274,9290,海南山鸟与山科技有限公司,91460000MAK1438054,本地(省级),MAK,,
275,9360,海南三亚觅果网络科技有限公司,91460000MADG02CY55,本地(省级),MAD,,
276,9394,海南三四粒农业发展有限公司,91460000MA5TUMKW5D,本地(省级),MA5,SEED,
277,9540,海南瑞马克生物技术有限公司,91469002MACRU8HQXF,省内迁入/外设,MAC,,
278,9556,海南如明石化有限公司,91460000MA5TU9F30N,本地(省级),MA5,,
279,9667,海南曲元宜成科技有限公司,91460108MAA9A39K7P,省内迁入/外设,MAA,,
280,9673,海南秋烁农业发展有限公司,91460106MAD4MBWF0H,省内迁入/外设,MAD,SEED,
281,9680,海南琼宇康瑞科技有限公司,91460000MAEX1H4L1W,本地(省级),MAE,,
282,9718,海南青峰生物科技有限公司,91460100687271869E,省内迁入/外设,旧版(2015前),,
283,9760,海南强腾实业有限公司,91460107MAA99CT0XK,省内迁入/外设,MAA,,
284,9776,海南乾露电力工程有限公司,91460000MACTUUCJ2Q,本地(省级),MAC,,
285,9852,海南琦晟农业有限公司,91460000MACHGDXJ2P,本地(省级),MAC,SEED,
286,9938,海南澎东项目管理有限公司,91460000MADBM7D61F,本地(省级),MAD,,
287,9961,海南欧诺科技有限公司,91460200MA5T6UY469,本地(三亚),MA5,,
288,10017,海南能物科技有限公司,91460000MABYR6D47C,本地(省级),MA其他,,
289,10021,海南楠天信息科技有限公司,91460100MA5TMXJDX3,省内迁入/外设,MA5,,
290,10083,海南沐名科技有限公司,91460000MA5T7TQD17,本地(省级),MA5,,
291,10171,海南名都工程机械设备有限公司,91460000MAA8YT2H9R,本地(省级),MAA,,
292,10206,海南弥生生物科技有限公司,91460000MAA92QTA1D,本地(省级),MAA,,
293,10213,海南梦佳博科技有限公司,91460108MACBCAXJ7U,省内迁入/外设,MAC,,
294,10287,海南迈斯生物科技有限公司,91460000MACMW9411F,本地(省级),MAC,,
