idx,seq,name,uscc,track,origin,vintage,label
30,1125,三亚政兴实业有限公司,91460200069672227W,待判定,本地(三亚),旧版(2015前),OK
31,1203,三亚云麒晟安信息技术有限公司,91460000MAEWKPBT6E,泛科技无行业信号,本地(省级),MAE,OK
32,1306,三亚宇羿光年婚纱摄影有限公司,91460200MA5T2UEC2B,待判定,本地(三亚),MA5,OK
33,1395,三亚英特格蒂科技有限公司,91460000MAE2DUNH2J,泛科技无行业信号,本地(省级),MAE,OK
34,1579,三亚崖州永敬堂济康大药房,91460205MA5TFNTF4H,待判定,本地(三亚),MA5,OK
35,1621,三亚崖州麦塔特隆信息技术有限公司,91460000MAE6CKUD5W,泛科技无行业信号,本地(省级),MAE,OK
36,1632,三亚崖州汇享电子竞技馆（个人独资）,91469033MADRG3R61D,待判定,省内迁入/外设,MAD,OK
37,1714,三亚星际旅行科技有限公司,91460100MAA955YW2W,泛科技无行业信号,省内迁入/外设,MAA,OK
38,1794,三亚新扬达网络技术有限公司,91410100MA9KGBHM7T,待判定,省外迁入/外设,MA9,OK
39,1828,三亚小果优品网络科技有限公司,91460106MA5TXEAF7U,泛科技无行业信号,省内迁入/外设,MA5,OK
40,1859,三亚喜松堂管理有限责任公司崖州区分公司,91460000MAEA99J30T,待判定,本地(省级),MAE,OK
41,1861,三亚喜利多学生托管中心,91460400MA5TMWMQ24,待判定,省内迁入/外设,MA5,OK
42,1970,三亚砼艺工程服务中心（个人独资）,91460000MACYD4LC3T,待判定,本地(省级),MAC,OK
43,1971,三亚同有三泰生物科技有限公司,91460000MACGM15K1T,泛科技无行业信号,本地(省级),MAC,OK
44,2049,三亚穗安生物科技有限公司,91460000MAEXKP2X2L,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
45,2311,三亚市逸海实业有限公司,91460000MAA90PNG9Y,待判定,本地(省级),MAA,OK
46,2354,三亚市阳乐烟花科技有限公司,91460106MADHXFYY1U,泛科技无行业信号,省内迁入/外设,MAD,OK
47,2447,三亚市萱紫生物科技有限公司,91460000MADEDM549P,泛科技无行业信号,本地(省级),MAD,OK
48,2582,三亚市万禾供销有限公司,91460000MAER3AQG7F,待判定,本地(省级),MAE,OK
49,2830,三亚市璞海旅租发展有限公司,91460000MABUU1TK9F,待判定,本地(省级),MA其他,OK
50,3081,三亚市九枝建材有限公司,91460000MA7HNW0M8L,待判定,本地(省级),MA7,OK
51,3156,三亚市佳馨芸服装有限公司,91460000MA5TH44B12,待判定,本地(省级),MA5,OK
52,3159,三亚市佳慧玉服装有限公司,91460000MA5TH44NX4,待判定,本地(省级),MA5,OK
53,3421,三亚市鼎昌鸿仁数字科技有限公司,91460200MA5T1G0E63,泛科技无行业信号,本地(三亚),MA5,OK
54,3527,三亚市怅尔建材有限公司,91460000MA7GLX1B5U,待判定,本地(省级),MA7,OK
55,3651,三亚深蓝实业有限公司,91460000MADHDRB944,待判定,本地(省级),MAD,MISS_BORDERLINE
56,3723,三亚润滨生物科技有限公司,91460108MADN5N7D2D,泛科技无行业信号,省内迁入/外设,MAD,OK
57,3731,三亚睿享云图科技合伙企业（有限合伙）,91469005MACXCKC051,泛科技无行业信号,省内迁入/外设,MAC,OK
58,3747,三亚瑞亚杰健康管理合伙企业（有限合伙）,91460000MAEUQLYG6E,待判定,本地(省级),MAE,OK
59,3845,三亚沁全百货商店（个人独资）,91460000MAA94FKX3X,待判定,本地(省级),MAA,OK
60,3961,三亚念加源地产营销策划有限公司,91460200MA5RGF6J27,待判定,本地(三亚),MA5,OK
61,3977,三亚南山不夜城发展有限公司,91460107MA7LGMY29F,待判定,省内迁入/外设,MA7,OK
62,4140,三亚龙港众腾实业有限公司,91460200MA5RCE8053,待判定,本地(三亚),MA5,OK
63,4150,三亚刘俊废品回收场,91460000MA5TL18J61,待判定,本地(省级),MA5,OK
64,4191,三亚力信实业有限公司,91460000MA5TUUJF19,待判定,本地(省级),MA5,OK
65,4224,三亚朗松果康有限公司,91460000MAD7J7GR2M,待判定,本地(省级),MAD,MISS_BORDERLINE
66,4227,三亚琅川建工实业有限公司,91460200MA5RF2QQ6A,待判定,本地(三亚),MA5,OK
67,4378,三亚聚丰源实业开发有限公司,914602006989238936,待判定,本地(三亚),旧版(2015前),OK
68,4391,三亚居隆源地产有限公司,91460200MA5RDFAN41,待判定,本地(三亚),MA5,OK
69,4482,三亚津江机械设备租赁有限公司,91460200MA5T22FH3L,待判定,本地(三亚),MA5,OK
70,4516,三亚健特生物技术有限公司,91460000MAEU4T086C,待判定,本地(省级),MAE,OK
71,4528,三亚嘉运亨通科技有限公司,91460100MA5TLLXL6Q,泛科技无行业信号,省内迁入/外设,MA5,OK
72,4608,三亚汇聚科技合伙企业（有限合伙）,91469033MAD78XLT15,泛科技无行业信号,省内迁入/外设,MAD,OK
73,4611,三亚汇方园林景观工程有限公司,91460200MA5T1XN55H,待判定,本地(三亚),MA5,OK
74,4612,三亚汇创聚源科技有限公司,91460000MAD4U82K6H,泛科技无行业信号,本地(省级),MAD,OK
75,4639,三亚换位思考营销策划有限公司,91460200MA5RCNER95,待判定,本地(三亚),MA5,OK
76,4650,三亚寰宇佳创科技有限公司,91460000MACRJT452E,泛科技无行业信号,本地(省级),MAC,OK
77,4674,三亚华聚建材有限公司,91460000MA5TX8XT19,待判定,本地(省级),MA5,OK
78,4705,三亚鸿宇盛达建设有限公司,91460000MAEL3FFF7J,待判定,本地(省级),MAE,OK
79,4717,三亚鸿鹄众志生物科技有限公司,91460000MAEMG7Q55J,泛科技无行业信号,本地(省级),MAE,OK
80,4782,三亚禾算生物科技有限公司,91460000MAEFE36A06,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
81,4862,三亚涵康健康管理有限公司,91460000MAEDRQENXH,待判定,本地(省级),MAE,OK
82,4898,三亚海擎智能科技有限公司,91460000MAEFBY7K7N,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
83,4922,三亚海岛智旅科技有限公司,91460107MADRATF393,泛科技无行业信号,省内迁入/外设,MAD,OK
84,5140,三亚鼎鸿环境工程有限责任公司,91460000MADCLBLF2B,待判定,本地(省级),MAD,OK
85,5149,三亚帝圣宜百货商行（个人独资）,91469005MADNMU7H70,待判定,省内迁入/外设,MAD,OK
86,5172,三亚德文康凯智能科技有限公司,91460000MAEF5JAA0K,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
87,5207,三亚大赉实业有限公司,91460000MACFWUH07D,待判定,本地(省级),MAC,OK
88,5284,三亚晟尘家居有限公司,91460000MA5TYRRA51,待判定,本地(省级),MA5,OK
89,5355,三亚柏肯信息技术有限公司,91460000MAC43WXU14,泛科技无行业信号,本地(省级),MAC,OK
90,5399,三亚闭合比翼网络科技有限公司,91460200MA5RHN0Y42,泛科技无行业信号,本地(三亚),MA5,OK
91,5427,三亚百麦生物科技有限公司,91460000MAE9N68Q6N,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
92,5507,赛特罗拉（海南）生物科技有限公司,91460000MABR5XA619,泛科技无行业信号,本地(省级),MA其他,OK
93,5511,润泽睿达（海南）工业科技有限公司,91460000MAC7BNEY5Q,泛科技无行业信号,本地(省级),MAC,MISS_BORDERLINE
94,5521,润都科技（海南）有限公司,91460000MAERU2NQ56,待判定,本地(省级),MAE,OK
95,5526,睿之铭（海南）智能科技有限公司,91460000MAC56DQB77,泛科技无行业信号,本地(省级),MAC,MISS_BORDERLINE
96,5563,容与和（海南）科技有限公司,91460108MADK93D76K,泛科技无行业信号,省内迁入/外设,MAD,OK
97,5613,企发发（海南）科技有限公司,91460000MA5TQK9L80,泛科技无行业信号,本地(省级),MA5,OK
98,5632,品六阁科技研究（三亚）有限公司,91460000MACQ0XN25J,待判定,本地(省级),MAC,OK
99,5656,农本（三亚）产业加速器有限公司,91460105MAA99WCJ1N,待判定,省内迁入/外设,MAA,MISS_STRICT
100,5676,南京安吉特矿山工程有限公司三亚分公司,91460200MA5U180J60,待判定,本地(三亚),MA5,OK
101,5677,南海九运信息技术（海南）有限公司,91460000MA7KD1T65U,待判定,本地(省级),MA7,MISS_BORDERLINE
102,5806,灵朗（海南）健康产业有限公司,91460106MADMG28A6H,待判定,省内迁入/外设,MAD,OK
103,5825,良医健业颐善（海南）健康科技有限公司,91460000MAEEEHWW3H,泛科技无行业信号,本地(省级),MAE,OK
104,5851,镭测创芯（海南）科技有限公司,91460000MAC6PXLQ7P,泛科技无行业信号,本地(省级),MAC,MISS_STRICT
105,5859,乐杰（海南）生物科技有限公司,91460105MAA9258P3Y,泛科技无行业信号,省内迁入/外设,MAA,OK
106,5895,客多多（三亚）科技有限公司,91460000MAD2054M1K,泛科技无行业信号,本地(省级),MAD,OK
107,5966,久荣天（海南）科技有限公司,91460108MAD7CKX669,泛科技无行业信号,省内迁入/外设,MAD,OK
108,5984,京欣科技（海南）有限公司,91460108MADTW9TK44,待判定,省内迁入/外设,MAD,OK
109,6010,金文达科技（海南）有限公司,91460107MADJP7L4XP,待判定,省内迁入/外设,MAD,OK
110,6047,菽新生物科技（三亚）有限公司,91460000MAEEYKYU7J,待判定,本地(省级),MAE,MISS_STRICT
111,6122,汇申（海南）实业有限公司,91460106MAA9AQU264,待判定,省内迁入/外设,MAA,OK
112,6143,恢春丹生物科技（海南）有限公司,91460000MA5TMQY421,待判定,本地(省级),MA5,OK
113,6151,焕畅汽车服务（海南省）有限公司,91460000MA5TJLC69E,待判定,本地(省级),MA5,OK
114,6249,赫影生命科学（三亚）有限责任公司,91460000MAEUNHEC9K,待判定,本地(省级),MAE,MISS_STRICT
115,6279,和道天下（海南）科技有限公司,91460106MA5TRK9A3R,泛科技无行业信号,省内迁入/外设,MA5,OK
116,6284,皓擎机械设备（海南省）有限公司,91460000MA5TJLYL1A,待判定,本地(省级),MA5,MISS_BORDERLINE
117,6403,海南卓然卓尔科技有限公司,91460000MAD5R77Y4Y,泛科技无行业信号,本地(省级),MAD,OK
118,6486,海南忠悦盛安装工程有限公司,91460000MAE90YHT98,待判定,本地(省级),MAE,OK
119,6517,海南中芯卫国科技合伙企业（有限合伙）,91469006MABTD1F45C,泛科技无行业信号,省内迁入/外设,MA其他,MISS_BORDERLINE
120,6592,海南中诚安实业有限公司,91460200MA5RDG6R4L,待判定,本地(三亚),MA5,OK
121,6633,海南智维实业股份有限公司,91460200MA5RCENHXE,待判定,本地(三亚),MA5,OK
122,6678,海南智财通发展有限公司,91460000MAA93XC30F,待判定,本地(省级),MAA,OK
123,6682,海南志敏燃料有限公司,91460000MA5U1LYTX6,待判定,本地(省级),MA5,OK
124,6725,海南正强海运有限公司,91460000MABTH0MF9P,待判定,本地(省级),MA其他,MISS_BORDERLINE
125,6740,海南震腾实业有限公司,91460000MAA98W3T0K,待判定,本地(省级),MAA,OK
126,6789,海南爪哇金丝燕科技有限公司,91460000MAA9418J42,泛科技无行业信号,本地(省级),MAA,MISS_BORDERLINE
127,6833,海南泽耀能源有限公司,91460000MAE0QJW69X,待判定,本地(省级),MAE,OK
128,6906,海南云境生物科技有限公司,91469036MADTPX302D,泛科技无行业信号,省内迁入/外设,MAD,OK
129,6926,海南云仓酒庄有限公司,91460000MAA8Y9053L,待判定,本地(省级),MAA,OK
130,6966,海南岳能实业有限公司,91460200MA5RH3L72C,待判定,本地(三亚),MA5,OK
131,7059,海南誉鼎九合科技有限公司,91460000MAEDMCXW99,泛科技无行业信号,本地(省级),MAE,OK
132,7086,海南玉畅科技发展有限公司,91469034MADUPFR4XJ,待判定,省内迁入/外设,MAD,OK
133,7370,海南钇森包装有限公司,91460000MAE2CFN90M,待判定,本地(省级),MAE,OK
134,7409,海南壹盛商业管理中心（个人独资）,91469031MABX0BY70N,待判定,省内迁入/外设,MA其他,OK
135,7468,海南耀时石化有限公司,91460000MA5U0B1771,待判定,本地(省级),MA5,OK
136,7490,海南燕祥和生物科技发展有限公司,91460000MAER9RWW57,待判定,本地(省级),MAE,OK
137,7526,海南亚峰昌庆汽车出租管理有限公司,91460200MA5RCNYK9R,待判定,本地(三亚),MA5,OK
138,7529,海南亚安虹智能工程有限公司,91460200MA5RDX3T8Y,待判定,本地(三亚),MA5,MISS_BORDERLINE
139,7708,海南馨湾健康产业中心（个人独资）,91460000MAA96TRD3E,待判定,本地(省级),MAA,OK
140,7717,海南鑫宇川石油化工有限公司,91460000MA5TURXR0G,待判定,本地(省级),MA5,OK
141,7729,海南鑫想事成科技有限责任公司,91460106MAD20QR13H,泛科技无行业信号,省内迁入/外设,MAD,OK
142,7733,海南鑫伟达建材设备有限公司,91460000MAA99N5P1B,待判定,本地(省级),MAA,OK
143,7740,海南鑫思维脑科技有限公司,91460000MA5TU1RX0G,泛科技无行业信号,本地(省级),MA5,MISS_BORDERLINE
144,7747,海南鑫群升实业有限公司,91460200MA5RH9DC9T,待判定,本地(三亚),MA5,OK
145,7805,海南鑫布罗医疗工程有限公司,91460000MA5TXGHE9B,待判定,本地(省级),MA5,MISS_STRICT
146,7826,海南欣卓工程有限公司,91460106MAA99WQ21Q,待判定,省内迁入/外设,MAA,OK
147,7919,海南协拍影视服务有限责任公司,91460000MA5TN5W99Y,待判定,本地(省级),MA5,OK
148,7949,海南象上本草科技有限公司,91460000MAK0MRYT0C,泛科技无行业信号,本地(省级),MAK,MISS_BORDERLINE
149,7983,海南香蕉树科技合伙企业（有限合伙）,91469005MA5U1J0L2B,泛科技无行业信号,省内迁入/外设,MA5,MISS_BORDERLINE
150,8035,海南西丽网络销售有限公司,91460200MA5RD83D9W,待判定,本地(三亚),MA5,OK
151,8134,海南未来智动科技有限公司,91460000MAEW4U97XF,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
152,8144,海南卫士信息技术有限公司,91460200MA5RCR9827,泛科技无行业信号,本地(三亚),MA5,OK
153,8216,海南万物生活科技有限公司,91460106MADAWBU48Y,泛科技无行业信号,省内迁入/外设,MAD,OK
154,8261,海南万盛家居有限公司,91460000MA7LEK3RXK,待判定,本地(省级),MA7,OK
155,8280,海南图凌智联科技有限公司,91460000MAA98G8X1F,泛科技无行业信号,本地(省级),MAA,OK
156,8364,海南天健厚德集团有限公司,91460000MA5TQFP12C,待判定,本地(省级),MA5,OK
157,8388,海南淘阅居房产营销策划有限公司,91460000MA5TBQJJXH,待判定,本地(省级),MA5,OK
158,8402,海南坛城康域疗愈之旅管理有限公司,91460000MAE6LT9J49,待判定,本地(省级),MAE,OK
159,8412,海南泰泽龙生命科技有限公司三亚分公司,91460106MAA9A4LM23,待判定,省内迁入/外设,MAA,MISS_BORDERLINE
160,8459,海南索引领时科技有限公司,91460000MAEBPF6H75,泛科技无行业信号,本地(省级),MAE,OK
161,8589,海南数智兴创科技有限公司,91460000MAEXJCFJXF,泛科技无行业信号,本地(省级),MAE,OK
162,8638,海南世茂欣兴实业有限公司,91460000MA5U11CJ3X,待判定,本地(省级),MA5,OK
163,8724,海南省粤飞翼科技有限公司,91460000MAEGD0UP39,泛科技无行业信号,本地(省级),MAE,OK
164,8739,海南省永唯石化有限公司,91460000MAA90R4D94,待判定,本地(省级),MAA,OK
165,8749,海南省忆谦礼科技有限公司,91460000MA5TDU5FXR,泛科技无行业信号,本地(省级),MA5,OK
166,8824,海南省蜀道度药业有限公司,91460000MA5TL75T5G,待判定,本地(省级),MA5,OK
167,8842,海南省三亚昭钦建材有限公司,91460000MA5TQ5JJ4F,待判定,本地(省级),MA5,OK
168,8853,海南省三亚市赢兴实业有限公司,91460000MA5T9WB25C,待判定,本地(省级),MA5,OK
169,9032,海南省锦赫生物科技有限责任公司,91460000MAC6TY2D4B,泛科技无行业信号,本地(省级),MAC,OK
170,9070,海南省鸿阳电动吊篮租赁有限公司,91460000MACWWFKU6C,待判定,本地(省级),MAC,OK
171,9158,海南省超博乾五金有限公司,91460000MA5TX2RT7R,待判定,本地(省级),MA5,OK
172,9213,海南莘创再生资源回收有限公司,91460000MAA940152F,待判定,本地(省级),MAA,OK
173,9222,海南珅玥实业有限公司,91460000MAA95XMD72,待判定,本地(省级),MAA,OK
174,9228,海南深水能源有限公司三亚分公司,91460000MAA914QF8L,待判定,本地(省级),MAA,MISS_STRICT
175,9229,海南深水能源有限公司,91460000MA5T93ADXP,待判定,本地(省级),MA5,MISS_STRICT
176,9233,海南深蓝先河科技有限公司,91460000MAEQ9U9F70,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
177,9243,海南深度探索信息工程有限公司,91460000MAEDE9MD1P,待判定,本地(省级),MAE,OK
178,9271,海南商禧拆迁工程有限公司,91460000MAA905LM0T,待判定,本地(省级),MAA,OK
179,9272,海南商事法务有限公司,91460000MABRAY6QXR,待判定,本地(省级),MA其他,OK
180,9289,海南山壹能源有限公司,91460000MA5TY2K78Y,待判定,本地(省级),MA5,OK
181,9311,海南森瑞斯达舞台搭建有限公司,91460105MAA99YF19D,待判定,省内迁入/外设,MAA,OK
182,9358,海南三亚墨栀科技有限公司,91460000MAK1L9898X,泛科技无行业信号,本地(省级),MAK,OK
183,9393,海南三泰创新实业有限公司,91460100394558110X,待判定,省内迁入/外设,旧版(2015前),OK
184,9418,海南赛诺化工材料有限公司,91460200MADW01A81Q,待判定,本地(三亚),MAD,MISS_BORDERLINE
185,9449,海南润信通商业管理有限公司,91460000MAE86GNR3P,待判定,本地(省级),MAE,OK
186,9463,海南润康慧成健康产业有限责任公司,91460108MAC27X3084,待判定,省内迁入/外设,MAC,OK
187,9511,海南瑞泽新型建材股份有限公司,914600007358252730,待判定,本地(省级),旧版(2015前),OK
188,9585,海南荣业复材科技有限公司,91460000MAET9RDM4A,泛科技无行业信号,本地(省级),MAE,MISS_STRICT
189,9770,海南乾元实业发展有限公司,914602006989294195,待判定,本地(三亚),旧版(2015前),OK
190,9777,海南乾鸿本源生物科技有限公司,91460000MAA92GJN75,泛科技无行业信号,本地(省级),MAA,OK
191,9817,海南启云信息技术有限公司,91460000MA5U1MXX9W,泛科技无行业信号,本地(省级),MA5,OK
192,9883,海南普润思生物技术有限公司,91460105MAA99UQU59,待判定,省内迁入/外设,MAA,OK
193,10076,海南牧澜农牧科技有限公司,91460000MAEKQ2MQ0A,泛科技无行业信号,本地(省级),MAE,MISS_STRICT
194,10121,海南铭达锦森实业有限公司,91460000MA5TW4C470,待判定,本地(省级),MA5,OK
195,10155,海南明吉医疗有限公司,91460000MABR24PW47,待判定,本地(省级),MA其他,MISS_BORDERLINE
196,10171,海南名都工程机械设备有限公司,91460000MAA8YT2H9R,待判定,本地(省级),MAA,OK
197,10246,海南美利嘉吉科技有限公司,91460106MADCGL9Q6G,泛科技无行业信号,省内迁入/外设,MAD,OK
198,10248,海南美朗照明工程有限公司,91460200MA5RGJHH7R,待判定,本地(三亚),MA5,OK
199,10305,海南绿屿环境科技有限公司,91460200MA5T20X54C,泛科技无行业信号,本地(三亚),MA5,MISS_BORDERLINE
200,10321,海南绿高隆生物科技有限公司,91460000MAC8NP8862,泛科技无行业信号,本地(省级),MAC,OK
201,10356,海南鲁峰工程科技有限公司,91460108MAA9596H2R,泛科技无行业信号,省内迁入/外设,MAA,OK
202,10400,海南隆升瑞达科技有限公司,91460000MAE4L6939K,泛科技无行业信号,本地(省级),MAE,OK
203,10433,海南龄悦管理有限责任公司,91460000MAEHJMNX8K,待判定,本地(省级),MAE,OK
204,10464,海南霖铅生物科技开发有限公司,91460000MADC4J0Q8C,待判定,本地(省级),MAD,OK
205,10523,海南立基力生物科技有限公司,91460000MAENWK6D71,泛科技无行业信号,本地(省级),MAE,OK
206,10528,海南力兴宝石油化工有限公司,91460000MA5TYJWR4U,待判定,本地(省级),MA5,OK
207,10557,海南黎母山沉香庄园开发有限公司,91460200MABTLBYD0X,待判定,本地(三亚),MA其他,MISS_BORDERLINE
208,10562,海南离岸创新创业基地有限公司,91460200MA5T4JK38F,待判定,本地(三亚),MA5,OK
209,10590,海南乐亨生活汽车租赁有限公司,91460200MA5RJ8UA9Q,待判定,本地(三亚),MA5,OK
210,10684,海南鲲鲤科技发展合伙企业（有限合伙）,91469006MAA96A986A,待判定,省内迁入/外设,MAA,MISS_BORDERLINE
211,10690,海南坤玉生物科技有限公司,91460000MACB7QYB4N,泛科技无行业信号,本地(省级),MAC,OK
212,10710,海南酷猪生物科技有限公司,91460000MACM8ANW8K,泛科技无行业信号,本地(省级),MAC,MISS_BORDERLINE
213,10712,海南空指针信息技术有限公司,91460000MA7J4W989L,泛科技无行业信号,本地(省级),MA7,OK
214,10744,海南科拓新型防水防腐蚀涂料有限公司,91460000MACYTCPW1L,待判定,本地(省级),MAC,OK
215,10766,海南科恩伯格生物科技开发有限公司,91460000MAK16D0M2T,待判定,本地(省级),MAK,OK
216,10915,海南聚汇房房产营销策划有限公司,91469001MA5TLLALXW,待判定,省内迁入/外设,MA5,OK
217,10935,海南巨联翔通科技有限公司,91460000MADEJR8Q4H,泛科技无行业信号,本地(省级),MAD,OK
218,10986,海南久亿生物科技有限公司,91460000MA5TYELMXT,泛科技无行业信号,本地(省级),MA5,OK
219,11015,海南璟飞实业有限公司,91460000MACAK9FX7B,待判定,本地(省级),MAC,OK
220,11227,海南金品同行科技有限公司,91460000MAE67NG353,泛科技无行业信号,本地(省级),MAE,OK
221,11273,海南金超基础工程有限公司,91469030MA5TLJDQ46,待判定,省内迁入/外设,MA5,OK
222,11295,海南杰睿丽联科技有限公司,91460000MAK0A55M3W,泛科技无行业信号,本地(省级),MAK,OK
223,11313,海南疆阁迩生物科技有限公司,91460000MACU5RQM2R,泛科技无行业信号,本地(省级),MAC,OK
224,11434,海南悸莘经贸有限公司,91460000MAK2ABPE3C,待判定,本地(省级),MAK,OK
225,11442,海南集元通石化有限公司,91460000MA5U2R0AX7,待判定,本地(省级),MA5,OK
226,11453,海南极视星光科技有限公司,91460000MAE57PA82H,泛科技无行业信号,本地(省级),MAE,OK
227,11489,海南蕙鼎节能科技发展有限公司,91460000MACKJ5NM0P,待判定,本地(省级),MAC,MISS_BORDERLINE
228,11501,海南汇融裕元家族办公室有限公司,91460108MAA905HY35,待判定,省内迁入/外设,MAA,OK
229,11600,海南寰衡源合科技有限公司,91460000MAEN52110M,泛科技无行业信号,本地(省级),MAE,OK
230,11616,海南华越智慧科技有限公司,91460000MAE2416R81,泛科技无行业信号,本地(省级),MAE,OK
231,11617,海南华钰生物工程有限公司,91460000MAC769U38B,待判定,本地(省级),MAC,OK
232,11641,海南华瑞盛源化工有限公司,91460000MA5U1CM01P,待判定,本地(省级),MA5,OK
233,11670,海南华大智造科技有限公司,91460000MA5TWWY94F,泛科技无行业信号,本地(省级),MA5,MISS_STRICT
234,11681,海南华博数字科技有限公司,91460000MA5TUFH99F,泛科技无行业信号,本地(省级),MA5,OK
235,11824,海南泓源生物科技有限公司,91460000MA5U2A7061,泛科技无行业信号,本地(省级),MA5,OK
236,11851,海南弘亮电力工程有限公司,91460000MAENJ1RE6B,待判定,本地(省级),MAE,OK
237,11943,海南恒电未来科技有限公司,91460000MAECBU435H,泛科技无行业信号,本地(省级),MAE,OK
238,11955,海南亨丰实业有限公司三亚崖州区分公司,91460200676053890C,待判定,本地(三亚),旧版(2015前),OK
239,11979,海南禾启春杏科技有限公司,91460106MAA9G9KW4D,泛科技无行业信号,省内迁入/外设,MAA,MISS_BORDERLINE
240,12066,海南昊旺建材有限公司,91460000MABLPN0C3Q,待判定,本地(省级),MA其他,OK
241,12132,海南汉通化工有限公司,91460000MA5U2KXM9X,待判定,本地(省级),MA5,OK
242,12156,海南海之悦信息技术有限公司,91460000MAC3EDHE68,泛科技无行业信号,本地(省级),MAC,OK
243,12165,海南海之安科创服务中心（有限合伙）,91460205MAC88DMX5C,待判定,本地(三亚),MAC,OK
244,12209,海南海润珍珠股份有限公司崖州科技城店,91460000MAK0D8UN5X,待判定,本地(省级),MAK,MISS_BORDERLINE
245,12211,海南海润益农生物科技有限公司,91460000MA7GWD5B60,泛科技无行业信号,本地(省级),MA7,MISS_STRICT
246,12233,海南海路通石化有限公司,91460000MA5U0N4R2L,待判定,本地(省级),MA5,OK
247,12236,海南海利汇超市有限公司崖州区分公司,91460000MAEETEL482,待判定,本地(省级),MAE,OK
248,12296,海南国赢石油化工有限公司,91469007MA5TYKYF1F,待判定,省内迁入/外设,MA5,OK
249,12320,海南瑰宝科技研发有限公司,91469005MA5TQWBR2N,待判定,省内迁入/外设,MA5,OK
250,12333,海南广泰来企业服务中心有限公司,91460108MACNJUH381,待判定,省内迁入/外设,MAC,OK
251,12353,海南冠豪机械设备工程有限责任公司,91460000MA5TR7W453,待判定,本地(省级),MA5,OK
