seq,name,uscc,pdf_page,tier,track,form,reg_authority,origin,vintage,seed_kw,ocean_kw,support_kw,exclude_kw,holding_kw,anchor_kw,state_kw,risk_flags,score
58,中油联鑫石化（海南）有限公司,91460000MA5U2C111Y,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
59,中油嘉润国际贸易（海南）有限公司,91460107MA5TUTEE9D,2,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MA5,,,,贸易,,,,,10
60,中永福一三七生物科技（海南）有限公司,91460000MA5TWCUW28,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
61,中瀛检验技术服务（海南）有限公司,91460000MACLCPFR83,2,C 支撑/泛赛道-备选,科技配套,独立法人,海南省级登记,本地(省级),MAC,,,检验,,,,,,41
62,中因生命科学（海南）有限公司,91460000MAA8YCM003,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAA,,,,,,,,,16
63,中镒（海南）国际贸易有限公司,91460000MAE2NPFP8C,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,贸易,,,,,16
64,中益道禾（海南）生物科技有限公司,91460000MAC67LQK9J,2,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
65,中毅洺（海南）国际进出口贸易有限责任公司,91460000MAD6J89E3A,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,贸易|进出口,,,,,16
66,中亿源石油（海南）有限公司,91460000MA5TW2LH56,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
67,中移铁通有限公司三亚崖州区营业厅,91460200MA5TL7AMXC,2,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,,,,,16
68,中邺生物科技（三亚）有限公司,91460000MABRD4HG2P,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA其他,,,,,,,,,16
69,中燕科技（海南）有限公司,91460000MAA909U09M,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAA,,,,,,,,,16
70,中燕国际投资发展（海南）有限公司,91460000MAEJ0NC847,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资,,,纯投资/控股载体,4
71,中研环能能源科技（海南）有限公司,91460000MA5U043704,2,C 支撑/泛赛道-备选,科技配套,独立法人,海南省级登记,本地(省级),MA5,,,能源科技,,,,,,41
72,中星和睿（海南）科技有限公司,91460000MAEWEBE07A,2,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
73,中鑫通链（海南）科技集团有限公司,91460108MAA9ANK67C,2,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
74,中鑫堂（海南）大健康产业有限公司,91460000MADFTQ8N2J,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAD,,,,,,,,,16
75,中鑫良田（海南）商贸有限公司,91460000MADGK6NY5X,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,商贸,,,,,16
76,中芯产投（海南）投资有限公司,91460000MAEBXHBJ46,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资,,,纯投资/控股载体,4
77,中欣安泰商务服务有限公司,91210245559843527X,2,E 非目标/对照组池,非目标,独立法人,省外登记(210245),省外迁入/外设,旧版(2015前),,,,服务有限公司|商务服务,,,,首次登记在省外(迁入或外地主体设点),-2
78,中显（海南）科技有限公司,91460000MACCMYNX9M,2,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
79,中玺文晟（海南）企业管理有限公司,91460000MA5TT2QW3J,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,企业管理,,,,,16
80,中玺盛硕（海南）商贸有限公司,91460000MACRDBB8XR,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAC,,,,商贸,,,,,16
81,中未华夏（海南）医学研究发展有限公司,91460000MAD7TTP2XG,2,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAD,,,,,,,,,16
82,中伟鑫业（海南）科技有限公司,91460108MACEWBQP6C,2,D 名称无行业信号,泛科技无行业信号,独立法人,海口登记,省内迁入/外设,MAC,,,,,,,,,10
83,中微（海南）企业服务有限公司,91460000MADC3CWL6X,2,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,服务有限公司,,,,,16
84,中投海源（三亚）古城开发有限公司,91460200090522151W,2,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),旧版(2015前),,,,,,,,,16
85,中通服海洋科技（上海）有限公司海南分公司,91469027MADT22X380,2,B 核心赛道-需核实,深海海洋,分支机构,海南其他市县登记,省内迁入/外设,MAD,,海洋,,,,,,分支机构(非独立法人),36
86,中铁铁龙（三亚）国际物流港有限公司,91460100MA5TA4YD0K,2,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MA5,,,,物流,,,,,10
87,中铁十一局集团有限公司三亚分公司,91460200MA5TR9BN2L,2,D 名称无行业信号,待判定,分支机构,三亚市/区登记,本地(三亚),MA5,,,,,,,,分支机构(非独立法人),-6
88,中铁十六局集团有限公司三亚分公司,91460200MA5TNQKT3E,2,D 名称无行业信号,待判定,分支机构,三亚市/区登记,本地(三亚),MA5,,,,,,,,分支机构(非独立法人),-6
89,中铁十八局集团有限公司三亚分公司,91460200MA5TLBYL5F,3,D 名称无行业信号,待判定,分支机构,三亚市/区登记,本地(三亚),MA5,,,,,,,,分支机构(非独立法人),-6
90,中铁建海南建设发展有限公司,91460200MA5TF0X71R,3,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,,,,,16
91,中铁国安（海南）控股集团有限公司,91460000MA5TR0PL05,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,控股,,,纯投资/控股载体,4
92,中铁二十二局集团第三工程有限公司三亚分公司,91460200MA5TUQ1W57,3,D 名称无行业信号,待判定,分支机构,三亚市/区登记,本地(三亚),MA5,,,,,,,,分支机构(非独立法人),-6
93,中天得一融资担保（海南）有限公司,91460000MACBGRG955,3,E 非目标/对照组池,金融机构,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
94,中腾石油化工（海南）有限公司,91460000MA5TTBEN84,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
95,中涛国海（海南）石油化工国际能源集团有限公司,91460100MA5U0ML58B,3,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MA5,,,,,,,,,10
96,中唐国泰有限公司,91460200MA5T786A29,3,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,,,,,16
97,中泰建业（成都）建筑劳务有限公司三亚分公司,91460108MADQC158X4,3,E 非目标/对照组池,非目标,分支机构,海口登记,省内迁入/外设,MAD,,,,建筑|劳务,,,,分支机构(非独立法人),-12
98,中宿（海南）石油物资有限公司,91460000MA5U1XQG5G,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
99,中硕立华科技（海南）有限公司,91460000MA5U0PH938,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
100,中水晨海（海南）智慧渔业有限公司,91460000MAE92H6735,3,A 核心赛道-优先访谈,深海海洋,独立法人,海南省级登记,本地(省级),MAE,,渔业,,,,,,,64
101,中水（海南）种业有限公司,91460000MAEXB58QX5,3,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAE,种业,,,,,,,,66
102,中数未来（海南）系统集成有限公司,91460105MAA9A6L75X,3,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
103,中枢库企业管理（海南）有限责任公司,91460000MAEE3H729W,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,企业管理,,,,,16
104,中试（海南）传动技术有限公司,91460100MAA98ACD72,3,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
105,中实能源（海南）有限公司,91460100MA5U1P4Y0P,3,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MA5,,,,,,,,,10
106,中实（三亚）进出口贸易有限公司,91460000MA5TLCAJ95,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,贸易|进出口,,,,,16
107,中十建设（河南）有限公司三亚分公司,91460000MAEF2DG8X2,3,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAE,,,,,,,,分支机构(非独立法人),-6
108,中升佳美（海南）清洁能源有限公司,91460000MA5TYM5348,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
109,中升（海南）石油化工有限公司,91460000MA5TUNN13K,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
110,中商国源（海南）投资集团有限公司,91460000MA5TT5JL7A,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,投资,,,纯投资/控股载体,4
111,中色矿业开发建设（海南）有限公司,91460108MAA9APGG93,3,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
112,中闰建设集团第三工程有限公司三亚分公司,91460000MA7MUB353U,3,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MA7,,,,,,,,分支机构(非独立法人),-6
113,中润志航（海南）科技有限公司,91460000MAER6PQ89J,3,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
114,中润逸雅（海南）投资有限公司,91460204MADD3YK33Q,3,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MAD,,,,,投资,,,纯投资/控股载体,4
115,中润金元（海南）石化有限公司,91460000MA5U1K8552,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
116,中瑞诚会计师事务所（特殊普通合伙）三亚分所,91460000MAG09E134D,3,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAG,,,,,,,,分支机构(非独立法人),-6
117,中荣国誉集团有限公司三亚分公司,91460000MACHRN6TXP,3,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAC,,,,,,,,分支机构(非独立法人),-6
118,中热科（海南）海洋与农业研究院有限公司,91460100069661050T,3,A 核心赛道-优先访谈,深海海洋,独立法人,海口登记,省内迁入/外设,旧版(2015前),,海洋,,,,研究院,,,76
119,中燃中泰（海南）实业有限公司,91460000MAA94ADT2H,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAA,,,,,,,,,16
120,中燃联储石油（海南）有限公司,91460000MAA92LWJ01,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAA,,,,,,,,,16
121,中趣云海（海南）投资有限公司,91460000MAD7BRDX3P,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,,投资,,,纯投资/控股载体,4
122,中庆粮安（海南）农业科技有限公司,91460000MAC6KERA54,3,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MAC,农业科技,,,,,,,,66
123,中庆澳龙（海南）能源发展有限公司,91460108MAD7WDNDXG,3,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAD,,,,,,,,,10
124,中青（海南）康养有限公司,91460000MAEET1RAXP,3,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
125,中且（三亚）科技有限公司,91510700MADXH7F16T,3,D 名称无行业信号,泛科技无行业信号,独立法人,省外登记(510700),省外迁入/外设,MAD,,,,,,,,首次登记在省外(迁入或外地主体设点),-2
126,中侨（海南）文旅发展有限公司,91460000MAEPPANEXU,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,文旅,,,,,16
127,中乾立源工程咨询有限公司海南分公司,91460000MAC1P6H43J,3,E 非目标/对照组池,非目标,分支机构,海南省级登记,本地(省级),MAC,,,,咨询,,,,分支机构(非独立法人),-6
128,中乾立源工程咨询（海南）有限公司,91460000MAA98BMY5J,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAA,,,,咨询,,,,,16
129,中启明（三亚）投资控股有限公司,91460000MAEM6XNH0M,3,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资|控股,,,纯投资/控股载体,4
130,中谱智装（海南）科技有限公司,91469033MA5TKMKK26,3,D 名称无行业信号,泛科技无行业信号,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,,10
131,中璞软件（海南）有限公司,91460100348098686L,3,C 支撑/泛赛道-备选,科技配套,独立法人,海口登记,省内迁入/外设,旧版(2015前),,,软件,,,,,,35
132,中诺辉迪国际贸易（海南）有限公司,91460106MAD4KM2Y4J,3,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAD,,,,贸易,,,,,10
133,中农国商（海南）产业发展集团有限公司,91469001MA5TLKX609,3,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,,中农,,18
134,中农动科（三亚）技术有限公司,91460100MA5TKQUM3A,4,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MA5,,,,,,,中农,,18
135,中农春天（海南）产业投资有限公司,91460000MAK2CHH80M,4,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAK,,,,,投资|产业投资,,中农,纯投资/控股载体,12
136,中能九泰能源（海南）有限公司,91460000MA5U1R5F7W,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
137,中能恒泰（海南）低碳科技有限公司,91460000MAA90G9T14,4,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAA,,,,,,,,,16
138,中能海明泰石油化工（海南）有限公司,91460000MA5U2RU5XB,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
139,中铭集团（海南）股份有限公司,91460000MAA91J9Y6X,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAA,,,,,,,,,16
140,中明领航（海南）投资发展有限公司,91460000MAD5K8AA1T,4,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,,投资,,,纯投资/控股载体,4
141,中民市政工程（海南）有限公司,91460000MA5U2R710U,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
142,中民生物科技（海南）有限公司,91460000MA5TH4H552,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16
143,中贸物流（海南）有限公司,91460000MA5TUJ5N8B,4,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,物流,,,,,16
144,中连讯科（海南）光电科技有限公司,91460000MAD6C19CXP,4,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAD,,,,,,,,,16
145,中联油国际能源（海南）有限公司,91460108MAA93YPYXK,4,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAA,,,,,,,,,10
146,中联未来（海南）控股有限公司,91460106MA5TY80W1A,4,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MA5,,,,,控股,,,纯投资/控股载体,-2
147,中利武芝（海南）建筑工程有限公司,91460000MAC4PQ6H7P,4,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAC,,,,建筑,,,,,16
148,中利瑞智（三亚）置业投资有限公司,91460200MA5RF1FK4L,4,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,置业,投资,,,纯投资/控股载体,4
149,中丽通达（海南）科技有限公司,91460000MAEG7CDE5Y,4,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16
150,中冷（海南）种子科技有限公司,91460000MA5U23YP3F,4,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MA5,种子,,,,,,,,66
151,中蓝科技（三亚）有限责任公司,91460000MAC4G2C01G,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
152,中坤（海南经济特区）商贸有限责任公司,91469007MA5TK9L50U,4,E 非目标/对照组池,非目标,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,商贸,,,,,10
153,中矿（海南）能源有限公司,91460000MACJXELM8Q,4,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAC,,,,,,,,,16
154,中克龙邦（三亚）贸易有限公司,91460107MADLXE358D,4,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAD,,,,贸易,,,,,10
155,中科智远（海南）科技有限公司,91460000MA5TQU073R,4,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MA5,,,,,,,中科,,24
156,中科智远（海南）创新科技有限公司,91460000MA7KG42337,4,D 名称无行业信号,泛科技无行业信号,独立法人,海南省级登记,本地(省级),MA7,,,,,,,中科,,24
