seq,name,uscc,pdf_page,tier,track,form,reg_authority,origin,vintage,seed_kw,ocean_kw,support_kw,exclude_kw,holding_kw,anchor_kw,state_kw,risk_flags,score,inst_role
8097,海南沃土股权投资基金合伙企业（有限合伙）,91460000MAA969J95X,180,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAA,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
12423,海南淦生源创业投资中心（有限合伙）,91460000MACGJ3UH59,277,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
10279,海南满得私募股权投资基金管理合伙企业（有限合伙）,91460000MAC1UPT81D,229,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
9529,海南瑞泰华诚私募股权投资基金合伙企业（有限合伙）,91320200076312123W,212,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
11311,海南疆源创业投资有限公司,91460000MAE9FXTU2K,252,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资|创业投资,,,纯投资/控股载体,4,基金/投资管理人
7978,海南祥晟惠通私募股权投资基金合伙企业（有限合伙）,91320200076312094H,178,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
10521,海南立鑫产业投资有限公司,91460100MADJQ40005,234,E 非目标/对照组池,非目标,独立法人,海口登记,省内迁入/外设,MAD,,,,,投资|产业投资,,,纯投资/控股载体,-2,基金/投资管理人
10502,海南联新创业投资中心（有限合伙）,91469026MAD797D91G,234,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MAD,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
12854,海南聪成股权投资基金合伙企业（有限合伙）,91460000MAC1C9WF66,286,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
8373,海南腾跃普惠私募股权投资基金合伙企业（有限合伙）,913202000763121077,187,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
11969,海南荷马私募基金管理有限公司,91460200MA5U02LK6F,267,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,基金,,,纯投资/控股载体,4,基金/投资管理人
8131,海南蔚海芯程创业投资合伙企业（有限合伙）,91469030MA5U07JH2D,181,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
9563,海南融智人才创新创业投资基金合伙企业（有限合伙）,91460000MA5TMQYXXE,213,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MA5,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
9576,海南融汇贯通私募股权投资基金合伙企业（有限合伙）,91320200076312916J,213,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
9575,海南融汇通富私募股权投资基金合伙企业（有限合伙）,913202000763120439,213,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
10193,海南觅得私募基金管理中心（有限合伙）,91460100MA7HN7Q991,227,E 非目标/对照组池,非目标,合伙企业,海口登记,省内迁入/外设,MA7,,,,,基金,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
9877,海南谱成惠业私募股权投资基金合伙企业（有限合伙）,9132020007631257X9,220,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
14987,海南辰海智造创业投资基金合伙企业（有限合伙）,91460000MAK5UW9U1A,334,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAK,,,,,投资|基金|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
13166,海南长富股权投资基金合伙企业（有限合伙）,91460000MACFBEHY7T,293,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
8115,海南闻达致磬私募股权投资基金合伙企业（有限合伙）,91320200076312078U,181,E 非目标/对照组池,非目标,合伙企业,省外登记(320200),省外迁入/外设,旧版(2015前),,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体; 首次登记在省外(迁入或外地主体设点),-36,基金/投资管理人
8529,海南顺源惠泰私募股权投资基金管理有限公司,91460000MA5TXHH23K,190,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,投资|基金|股权|股权投资,,,纯投资/控股载体,4,基金/投资管理人
10459,海南麟阁创业投资有限公司,91460200MA5U2WF661,233,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,投资|创业投资,,,纯投资/控股载体,4,基金/投资管理人
10461,海南麟阁按道股权投资基金合伙企业（有限合伙）,91460000MA7KM2AN5N,233,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MA7,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
14633,海南麟阁长平股权投资合伙企业（有限合伙）,91460000MAK4X39N0A,326,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAK,,,,,投资|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
5873,澜起创业投资（海南）有限公司,91460200MA5TY3LR00,131,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,投资|创业投资,,,纯投资/控股载体,4,基金/投资管理人
6302,瀚恒产业投资（海南）有限责任公司,91460200MADWKRH51X,141,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MAD,,,,,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
5690,纳远明志（海南）创业投资有限公司,91460000MAA95B6L0C,127,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAA,,,,,投资|创业投资,,,纯投资/控股载体,4,基金/投资管理人
305,至那数字产业投资发展（海南）有限公司,91460000MAEWW5W54N,7,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
5554,融道（海南）股权投资基金管理有限公司,91460000MA5TAALM82,124,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA5,,,,,投资|基金|股权|股权投资,,,纯投资/控股载体,4,基金/投资管理人
6071,迦莱（三亚崖州）产业投资有限责任公司,91460000MAEGP2RX0N,135,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAE,,,,,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
6003,金之源（海南）股权投资合伙企业（有限合伙）,91460000MAC9LCDK0T,134,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
6017,金农源（海南）股权投资合伙企业（有限合伙）,91460000MAC5KBED8R,134,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
13907,长石（三亚）创业投资合伙企业（有限合伙）,91469033MAA8Y6813H,310,E 非目标/对照组池,非目标,合伙企业,海南其他市县登记,省内迁入/外设,MAA,,,,,投资|创业投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-24,基金/投资管理人
381,雲起龙襄产业投资（海南）有限公司,91460000MADK2QYT4A,9,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MAD,,,,,投资|产业投资,,,纯投资/控股载体,4,基金/投资管理人
5797,领新（海南）私募基金管理有限公司,91460000MA7LF4JH15,129,E 非目标/对照组池,非目标,独立法人,海南省级登记,本地(省级),MA7,,,,,基金,,,纯投资/控股载体,4,基金/投资管理人
5801,领航创想（海南）股权投资合伙企业（有限合伙）,91460000MACY95U46U,129,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MAC,,,,,投资|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
